Böttcherin C-29;Destillate  (Erdöl) mit Wasserstoffe behandelte leicht@64742-47-8@<100%|2,6-Di-tert-butyl-p-kresol@128-37-0@<0,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%
Böttcherin HS;"Destillate  (Erdöl) mit Wasserstoffe behandelte leicht@64742-47-8@>= 25% ; < 50%"
Böttcherin Lavanta Non-VOC;"Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@>= 70%; < 90%|Docusatnatrium@577-11-7@>= 5%; < 10%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%"
Böttcherin Mistral;Kohlenwassersstoffe, C10-C13, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@<100%|2-Ethylhexyl-2-ethylhexanoat@7425-14-1@<0,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|(Z)-N-methyl-N-(1-oxo-9-octadecenyl)glycin@110-25-8@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,50%
Böttcherin Puridamp;Trisodium 2-[bis(carboxylatomethyl)amino]propanoate@164462-16-2@< 5%|2-/2-Butoxyethoxy)ethanol@112-34-5@< 5%|Hexan-1-ol, ethoxyliert@31726-34-8@< 5%
Böttcherin Solano;Kohlenwasserstoffe, C10-C13, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@<100%|2-Ethylhexyl-2-ethylhexanoat@7425-14-1@<0,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,50%
Böttcherin Solano CS;Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@<100%|Poly(propenoxid)@25322-69-4@<2,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,10%
Böttcherin Solano HS;"Kohlenwasserstoffe, C14-C18, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@>=25%; <50%|Poly(propenoxid)@25322-69-4@<2,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<30%|(Z)-N-methyl-N-(1-oxo-9-octadecenyl)glycin@110-25-8@<25%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,25%"
Böttcherin Twister;Kohlenwasserstoffe, C10-C13, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@<100%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,10%
Böttcherin Twister CS;Destilalte (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@<100%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,10%
